Date,Bullish,Neutral,Bearish,Total,WeeklyHigh,WeeklyLow,WeeklyClose
7/24/1987,36,50,14,100,311,308,309
7/31/1987,26,48,26,100,319,311,319
8/7/1987,56,15,29,100,323,316,323
8/14/1987,45,35,20,100,335,323,334
8/21/1987,66,28,6,100,336,329,336
8/28/1987,52,18,30,100,331,323,323
9/4/1987,42,17,41,100,330,317,317
9/11/1987,50,23,27,100,322,314,322
9/18/1987,60,29,11,100,323,315,315
9/25/1987,53,17,30,100,321,311,320
10/2/1987,44,26,30,100,328,322,328
10/9/1987,46,39,15,100,328,311,311
10/16/1987,37,30,33,100,315,283,283
10/23/1987,39,30,31,100,258,225,248
10/30/1987,44,23,33,100,252,228,252
11/6/1987,47,31,22,100,256,248,250
11/13/1987,31,41,28,100,249,239,246
11/20/1987,39,42,19,100,247,240,242
11/27/1987,27,46,27,100,246,240,240
12/4/1987,25,33,42,100,233,224,224
12/11/1987,23,45,32,100,239,229,235
12/18/1987,33,40,27,100,249,242,249
12/24/1987,28,52,20,100,253,250,252
12/31/1987,25,49,26,100,248,245,247
1/8/1988,34,46,20,100,261,243,243
1/15/1988,34,40,26,100,252,245,252
1/22/1988,21,48,31,100,252,243,247
1/29/1988,26,45,29,100,257,249,257
2/5/1988,32,53,15,100,256,251,251
2/12/1988,32,46,22,100,258,249,258
2/19/1988,27,49,24,100,262,258,262
2/26/1988,30,51,19,100,266,262,262
3/4/1988,38,40,22,100,268,267,267
3/11/1988,43,40,17,100,269,264,265
3/18/1988,41,49,10,100,271,266,271
3/25/1988,45,38,17,100,269,259,259
4/1/1988,35,45,20,100,260,258,259
4/8/1988,33,48,19,100,269,256,269
4/15/1988,23,53,24,100,272,260,260
4/22/1988,23,57,20,100,260,256,260
4/29/1988,22,48,30,100,264,261,261
5/6/1988,38,42,20,100,263,257,257
5/13/1988,19,56,25,100,258,253,257
5/20/1988,23,52,25,100,259,251,253
5/27/1988,28,52,20,100,255,251,253
6/3/1988,26,62,12,100,267,262,266
6/10/1988,28,49,23,100,272,265,271
6/17/1988,29,50,21,100,274,270,271
6/24/1988,33,44,23,100,276,269,274
7/1/1988,45,38,17,100,274,269,272
7/8/1988,35,50,15,100,276,270,270
7/15/1988,26,37,37,100,272,268,272
7/22/1988,16,58,26,100,271,264,264
7/29/1988,23,54,23,100,272,263,272
8/5/1988,21,49,30,100,273,271,271
8/12/1988,26,48,26,100,270,262,263
8/19/1988,19,53,28,100,261,259,260
8/26/1988,28,40,32,100,261,257,260
9/2/1988,18,43,39,100,264,258,264
9/9/1988,17,52,31,100,267,266,267
9/16/1988,24,46,30,100,271,266,271
9/23/1988,20,53,27,100,270,269,270
9/30/1988,26,44,30,100,273,268,272
10/7/1988,13,49,38,100,278,271,278
10/14/1988,22,46,32,100,278,274,276
10/21/1988,26,51,23,100,284,276,284
10/28/1988,40,38,22,100,282,277,279
