"","symbol","date","adjusted","volume"
"1","VOO",2022-12-01,360.841217041016,4608600
"2","VOO",2022-12-02,360.320953369141,3596000
"3","VOO",2022-12-05,353.904541015625,3707000
"4","VOO",2022-12-06,348.788726806641,3911000
"5","VOO",2022-12-07,348.114379882812,3338000
"6","VOO",2022-12-08,350.860137939453,3604500
"7","VOO",2022-12-09,348.297424316406,4271400
"8","VOO",2022-12-12,353.268707275391,2946200
"9","VOO",2022-12-13,355.879577636719,6161800
"10","VOO",2022-12-14,353.731140136719,4707100
"11","VOO",2022-12-15,345.031433105469,5126800
"12","VOO",2022-12-16,340.917541503906,4533100
"13","VOO",2022-12-19,337.979187011719,5538500
"14","VOO",2022-12-20,338.494140625,5068200
"15","VOO",2022-12-21,343.557006835938,3832400
"16","VOO",2022-12-22,338.726501464844,6458200
"17","VOO",2022-12-23,340.623809814453,4572000
"18","VOO",2022-12-27,339.2685546875,4303200
"19","VOO",2022-12-28,335.106018066406,4464600
"20","VOO",2022-12-29,341.049713134766,4086600
"21","VOO",2022-12-30,340.110778808594,5325400
"22","VOO",2023-01-03,338.803924560547,4957300
"23","VOO",2023-01-04,341.243377685547,3119100
"24","VOO",2023-01-05,337.516418457031,3216500
"25","VOO",2023-01-06,345.192932128906,3464800
"26","VOO",2023-01-09,344.941253662109,3775300
"27","VOO",2023-01-10,347.400054931641,3495700
"28","VOO",2023-01-11,351.833740234375,5710500
"29","VOO",2023-01-12,353.150268554688,4743500
"30","VOO",2023-01-13,354.52490234375,3015200
"31","VOO",2023-01-17,353.982727050781,4942000
"32","VOO",2023-01-18,348.232604980469,3931800
"33","VOO",2023-01-19,345.725372314453,3569900
"34","VOO",2023-01-20,352.085388183594,3265100
"35","VOO",2023-01-23,356.373870849609,3243300
"36","VOO",2023-01-24,355.996276855469,2702400
"37","VOO",2023-01-25,356.122100830078,3061700
"38","VOO",2023-01-26,359.926513671875,3460900
"39","VOO",2023-01-27,360.95263671875,5549500
"40","VOO",2023-01-30,356.441619873047,3280600
"41","VOO",2023-01-31,361.504455566406,4181700
"42","VOO",2023-02-01,365.463653564453,4941700
"43","VOO",2023-02-02,370.700744628906,5207900
"44","VOO",2023-02-03,366.741516113281,6472500
"45","VOO",2023-02-06,364.621429443359,2880100
"46","VOO",2023-02-07,369.326171875,4504600
"47","VOO",2023-02-08,365.279754638672,2921500
"48","VOO",2023-02-09,362.152984619141,3327700
"49","VOO",2023-02-10,363.033935546875,3256700
"50","VOO",2023-02-13,367.225555419922,2980600
"51","VOO",2023-02-14,367.089996337891,4718000
"52","VOO",2023-02-15,368.319427490234,2820200
"53","VOO",2023-02-16,363.198486328125,3077500
"54","VOO",2023-02-17,362.259460449219,3285300
"55","VOO",2023-02-21,355.066986083984,3109200
"56","VOO",2023-02-22,354.621643066406,3872000
"57","VOO",2023-02-23,356.402893066406,2867200
"58","VOO",2023-02-24,352.588806152344,4055000
"59","VOO",2023-02-27,353.808532714844,3300100
"60","VOO",2023-02-28,352.472595214844,3022200
"61","VOO",2023-03-01,351.185150146484,3764700
"62","VOO",2023-03-02,353.808532714844,2727200
"63","VOO",2023-03-03,359.413452148438,4913600
"64","VOO",2023-03-06,359.849060058594,2638300
"65","VOO",2023-03-07,354.282897949219,3546100
"66","VOO",2023-03-08,354.834625244141,2906300
"67","VOO",2023-03-09,348.339050292969,4409600
"68","VOO",2023-03-10,343.343994140625,8360400
"69","VOO",2023-03-13,342.76318359375,6478700
"70","VOO",2023-03-14,348.455230712891,4798800
"71","VOO",2023-03-15,346.306182861328,6610400
"72","VOO",2023-03-16,352.230560302734,5016700
"73","VOO",2023-03-17,348.377807617188,5189900
"74","VOO",2023-03-20,351.52392578125,3099800
"75","VOO",2023-03-21,356.122100830078,4117600
"76","VOO",2023-03-22,350.217071533203,4094800
"77","VOO",2023-03-23,351.049560546875,4787200
"78","VOO",2023-03-24,353.389282226562,3740400
"79","VOO",2023-03-27,353.972473144531,4144800
"80","VOO",2023-03-28,353.350402832031,2413700
"81","VOO",2023-03-29,358.375762939453,3636100
"82","VOO",2023-03-30,360.51416015625,3316700
"83","VOO",2023-03-31,365.54931640625,4159800
"84","VOO",2023-04-03,366.997589111328,3525300
"85","VOO",2023-04-04,364.927154541016,2713300
"86","VOO",2023-04-05,364.042694091797,3227700
"87","VOO",2023-04-06,365.432678222656,3076200
"88","VOO",2023-04-10,365.831146240234,2671100
"89","VOO",2023-04-11,365.879791259766,3069000
"90","VOO",2023-04-12,364.421783447266,3624200
"91","VOO",2023-04-13,369.145782470703,2680900
"92","VOO",2023-04-14,368.387573242188,2981700
"93","VOO",2023-04-17,369.641510009766,2721000
"94","VOO",2023-04-18,369.894256591797,3019300
"95","VOO",2023-04-19,369.874816894531,2671300
"96","VOO",2023-04-20,367.784942626953,2953200
"97","VOO",2023-04-21,367.998809814453,2762300
"98","VOO",2023-04-24,368.484802246094,2310400
"99","VOO",2023-04-25,362.662414550781,3795400
"100","VOO",2023-04-26,361.048797607422,3766900
"101","VOO",2023-04-27,368.212677001953,4302400
"102","VOO",2023-04-28,371.361938476562,3386900
"103","VOO",2023-05-01,371.109313964844,3069300
"104","VOO",2023-05-02,366.949005126953,4311600
"105","VOO",2023-05-03,364.392639160156,5513000
"106","VOO",2023-05-04,361.729248046875,4421500
"107","VOO",2023-05-05,368.368194580078,3134100
"108","VOO",2023-05-08,368.572235107422,2957600
"109","VOO",2023-05-09,366.978210449219,2271000
"110","VOO",2023-05-10,368.581970214844,3512900
"111","VOO",2023-05-11,368.066864013672,2676600
"112","VOO",2023-05-12,367.571075439453,2530300
"113","VOO",2023-05-15,368.844421386719,3882600
"114","VOO",2023-05-16,366.404693603516,2275300
"115","VOO",2023-05-17,370.77880859375,3222600
"116","VOO",2023-05-18,374.404418945312,3340600
"117","VOO",2023-05-19,373.811553955078,3646600
"118","VOO",2023-05-22,374.015625,2784000
"119","VOO",2023-05-23,369.835968017578,2887300
"120","VOO",2023-05-24,367.065643310547,3611600
"121","VOO",2023-05-25,370.263610839844,3315900
"122","VOO",2023-05-26,375.075103759766,3042800
"123","VOO",2023-05-30,375.191802978516,3968500
"124","VOO",2023-05-31,373.150543212891,4205300
"125","VOO",2023-06-01,376.727600097656,3563600
"126","VOO",2023-06-02,382.258392333984,7365800
"127","VOO",2023-06-05,381.519653320312,3481200
"128","VOO",2023-06-06,382.306976318359,2894700
"129","VOO",2023-06-07,381.053070068359,3942900
"130","VOO",2023-06-08,383.337341308594,3455400
"131","VOO",2023-06-09,383.978912353516,3060100
"132","VOO",2023-06-12,387.507354736328,3792700
