"symbol","date","adjusted","total_volume","return"
"A",2023-01-31,149.94,25394900,1.62
"A",2023-02-28,139.97,23987500,-6.65
"A",2023-03-31,136.4,38085900,-2.55
"A",2023-04-28,133.74,27783900,-1.95
"A",2023-05-31,114.23,46206000,-14.59
"A",2023-06-30,118.98,51386600,4.16
"A",2023-07-31,120.48,38312400,1.26
"A",2023-08-31,119.79,41877200,-0.57
"A",2023-09-29,110.64,39797000,-7.64
"A",2023-10-31,102.48,46915400,-7.38
"A",2023-11-30,126.71,46230900,23.64
"A",2023-12-29,138.07,35272800,8.97
"A",2024-01-31,129.2,30229800,-6.42
"A",2024-02-29,136.41,32189900,5.58
"A",2024-03-28,144.51,38461900,5.94
"A",2024-04-30,136.32,27536200,-5.67
"A",2024-05-31,129.72,37215500,-4.84
"A",2024-06-28,128.95,56319600,-0.59
"A",2024-07-31,140.91,37240500,9.27
"A",2024-08-30,142.43,33586600,1.08
"A",2024-09-30,147.97,31203800,3.89
"A",2024-10-31,130.07,30671600,-12.1
"A",2024-11-29,137.72,44594100,5.88
"A",2024-12-30,134.17,31801600,-2.58
"AAPL",2023-01-31,142.63,1443652500,11.05
"AAPL",2023-02-28,145.94,1307198900,2.32
"AAPL",2023-03-31,163.25,1520266600,11.86
"AAPL",2023-04-28,167.99,969709700,2.9
"AAPL",2023-05-31,175.72,1275155500,4.6
"AAPL",2023-06-30,192.3,1297101100,9.44
"AAPL",2023-07-31,194.76,996066400,1.28
"AAPL",2023-08-31,186.5,1322439400,-4.24
"AAPL",2023-09-29,169.96,1337586600,-8.87
"AAPL",2023-10-31,169.53,1172719600,-0.25
"AAPL",2023-11-30,188.82,1099586100,11.38
"AAPL",2023-12-29,191.38,1062774800,1.36
"AAPL",2024-01-31,183.3,1187219300,-4.22
"AAPL",2024-02-29,179.9,1161627000,-1.85
"AAPL",2024-03-28,170.67,1432782800,-5.13
"AAPL",2024-04-30,169.53,1245717000,-0.67
"AAPL",2024-05-31,191.61,1336537700,13.02
"AAPL",2024-06-28,209.91,1723984500,9.55
"AAPL",2024-07-31,221.34,1153099800,5.45
"AAPL",2024-08-30,228.5,1122667000,3.23
"AAPL",2024-09-30,232.49,1232140300,1.75
"AAPL",2024-10-31,225.41,930736000,-3.05
"AAPL",2024-11-29,237.07,891640600,5.17
"AAPL",2024-12-30,251.92,938435400,6.26
"ABBV",2023-01-31,137.02,119768800,-7.71
"ABBV",2023-02-28,142.72,119526100,4.16
"ABBV",2023-03-31,147.79,153986300,3.55
"ABBV",2023-04-28,141.43,99798300,-4.3
"ABBV",2023-05-31,129.11,120459400,-8.71
"ABBV",2023-06-30,126.09,135184600,-2.34
"ABBV",2023-07-31,141.54,119860700,12.25
"ABBV",2023-08-31,139.06,89765900,-1.75
"ABBV",2023-09-29,141.05,85051800,1.43
"ABBV",2023-10-31,134.93,110954100,-4.34
"ABBV",2023-11-30,136.09,111389000,0.86
"ABBV",2023-12-29,148.11,110125500,8.83
"ABBV",2024-01-31,158.62,112745900,7.1
"ABBV",2024-02-29,169.86,106001600,7.09
"ABBV",2024-03-28,175.7,129500800,3.44
"ABBV",2024-04-30,158.39,122523100,-9.85
"ABBV",2024-05-31,157.03,116374600,-0.86
"ABBV",2024-06-28,167.04,117450500,6.37
"ABBV",2024-07-31,182.13,111034700,9.03
"ABBV",2024-08-30,192.94,99312400,5.94
"ABBV",2024-09-30,194.09,95343600,0.6
"ABBV",2024-10-31,201.97,115796200,4.06
"ABBV",2024-11-29,181.22,155249600,-10.27
"ABBV",2024-12-30,174.55,117805300,-3.68
"ABNB",2023-01-31,111.11,105781800,29.95
"ABNB",2023-02-28,123.28,163746700,10.95
"ABNB",2023-03-31,124.4,111123700,0.91
"ABNB",2023-04-28,119.67,97176800,-3.8
"ABNB",2023-05-31,109.77,187423900,-8.27
"ABNB",2023-06-30,128.16,120906800,16.75
"ABNB",2023-07-31,152.19,104506800,18.75
"ABNB",2023-08-31,131.55,108435600,-13.56
"ABNB",2023-09-29,137.21,208374300,4.3
"ABNB",2023-10-31,118.29,108396800,-13.79
"ABNB",2023-11-30,126.34,124275600,6.81
"ABNB",2023-12-29,136.14,104190500,7.76
